,row,column,tcid,tbid,created_at,user_agent,total_events,session_duration_s,total_scroll_depth,max_scroll_depth,TOUCH_START_count,SCROLL_count,RESIZE_count,VISIBILITY_CHANGE_count
0,0,0,06046a82-f99f-46a6-b67f-8999d24c1423,29f79081-1057-43b2-b22d-8260ff55d80e,2025-02-25 17:31:39.031,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",186,186.871,126753.0,16917.0,64,31,16,2
1,1,0,44d62259-c6d3-49ff-8346-e1d5ddff802e,ff6ad41b-5f8f-4ba7-a30d-d27625fae06d,2025-02-25 05:15:14.398,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",285,359.771,24446.577894210815,2951.822265625,114,23,3,1
2,2,0,f455fdcd-5bf1-4ccc-bfce-0bf25ebc8085,2020b325-ff27-4003-b0ad-75bf2cd60798,2025-02-25 17:51:57.943,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",29,8.483,4171.636413574219,1129.8182373046875,10,5,2,1
3,3,0,bcf89e35-85b4-4f18-aeaa-c2f4954acc26,428b1d7c-3e38-4339-90a4-576d9be1d462,2025-02-25 19:51:16.290,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",175,750.823,148435.6673989296,9899.6669921875,81,27,2,1
4,4,0,b1dd98fb-707d-4021-bfd2-f2ef3c123623,144e269f-5e79-4fec-b5e6-b56b0fd68e81,2025-02-25 14:08:20.037,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1,gzip(gfe);GoogleHypersonic",125,161.469,19962.0,3606.0,43,22,18,0
5,5,0,a74ef910-81e6-4ce3-b030-86001762a5c3,cb32960d-b59e-4950-a98c-a1719d2aef93,2025-02-25 13:07:17.950,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/135.1  Mobile/15E148 Safari/605.1.15",268,123.925,45189.0,8887.0,67,22,16,1
6,6,0,2180698d-1151-453f-b2da-837c52fb23fc,00cc4511-bed8-44ea-affe-6ec649845beb,2025-02-25 22:03:41.230,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",70,37.236,21470.181846618652,2628.0,34,16,3,0
7,7,0,c3dd7cf0-ad63-4890-9607-cc7e20816d03,fff9548f-e95e-404b-be84-b0beca6dc2ac,2025-02-25 06:07:12.246,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone13,3;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/el_GR;FBOP/5;FBRV/701188403;IABMV/1]",26,5.359,102.0,102.0,15,1,1,1
8,7,1,c3dd7cf0-ad63-4890-9607-cc7e20816d03,7d5ce9fe-4550-47c7-b072-32d8b9dc4922,2025-02-25 06:07:24.520,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22D72 [FBAN/FBIOS;FBAV/501.0.0.49.107;FBBV/699723644;FBDV/iPhone13,3;FBMD/iPhone;FBSN/iOS;FBSV/18.3.1;FBSS/3;FBID/phone;FBLC/el_GR;FBOP/5;FBRV/701188403;IABMV/1]",15,7.583,133.0,133.0,9,1,0,1
9,8,0,cecef60f-ab71-4f9f-9b06-e25f59dd6b6c,c6b0041e-ea38-4e3b-9427-f25088373db8,2025-02-25 10:14:48.145,"Mozilla/5.0 (Linux; Android 14; SM-A145R Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.121 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.241806000.1)",3,9.516,0.0,0.0,0,0,1,1
10,8,1,cecef60f-ab71-4f9f-9b06-e25f59dd6b6c,c6b0041e-ea38-4e3b-9427-f25088373db8,2025-02-25 10:23:20.605,"Mozilla/5.0 (Linux; Android 14; SM-A145R Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.121 Mobile Safari/537.36 (Mobile; afma-sdk-a-v250505999.241806000.1)",3,9.516,0.0,0.0,0,0,1,1
11,9,0,365913de-acc1-43b2-ad8f-24a0ea05f0b0,8eb4eb69-0084-48ed-ac1b-c1e46f1156a7,2025-02-25 17:22:06.262,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",37,425.725,700.0,433.0,11,5,5,5
12,9,1,365913de-acc1-43b2-ad8f-24a0ea05f0b0,0cd9f9fc-8aa7-40ed-bed8-38797ae0f530,2025-02-25 17:25:21.388,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",24,7.558,3294.0,1703.0,10,5,2,0
13,9,2,365913de-acc1-43b2-ad8f-24a0ea05f0b0,953b9ff7-678c-4676-abc6-e40936effbc1,2025-02-25 17:30:01.587,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",4,396.504,0.0,0.0,0,1,0,3
14,9,3,365913de-acc1-43b2-ad8f-24a0ea05f0b0,6ac4638a-6bab-4f93-99d4-e59b5859053f,2025-02-26 09:05:25.792,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",126,646.025,25482.0,2009.0,42,26,14,5
15,9,4,365913de-acc1-43b2-ad8f-24a0ea05f0b0,6ac4638a-6bab-4f93-99d4-e59b5859053f,2025-02-26 09:05:31.258,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/133.0.6943.120 Mobile/15E148 Safari/604.1",126,646.025,25482.0,2009.0,42,26,14,5
16,10,0,b18151a8-a530-4a1f-86a7-a8ac83e7ab01,b15d033e-49e0-4dd3-80ef-124950fcbe55,2025-02-25 20:40:24.646,"Mozilla/5.0 (Linux; Android 11; Mi A3 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.117 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/501.0.0.61.70;IABMV/1;]",188,84.85,86305.0,15448.5,78,22,2,0
17,10,1,b18151a8-a530-4a1f-86a7-a8ac83e7ab01,101bddf1-3ef3-443d-b6fd-2b3cd383128c,2025-02-27 18:12:19.199,"Mozilla/5.0 (Linux; Android 11; Mi A3 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.117 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/501.0.0.61.70;IABMV/1;]",49,21.409,17344.0,3155.5,26,10,0,0
18,10,2,b18151a8-a530-4a1f-86a7-a8ac83e7ab01,101bddf1-3ef3-443d-b6fd-2b3cd383128c,2025-02-27 18:12:26.145,"Mozilla/5.0 (Linux; Android 11; Mi A3 Build/RKQ1.200903.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/133.0.6943.117 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/501.0.0.61.70;IABMV/1;]",49,21.409,17344.0,3155.5,26,10,0,0
19,11,0,b1824e83-4228-4062-aa89-12ec40de4842,7afca508-284c-4b54-af45-d60aea1faf04,2025-02-25 15:42:26.260,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36",55,29.324,10588.727180480957,2548.727294921875,26,10,2,0
